gene	EEP	MEP	LEP	ESP	LSP	gap	25&deg;C	gap	Cold shock (15&deg;C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
STnc1870	8	22	4	3	30		10		15	1	7	8	5	13	1		14	3		8	11	6	7,830	10		STnc1870		sRNA	617317	617426	+			SL1344_STnc1870
STnc3180	10	28	27	44	18		0		6	29	30	33	0	17	14		42	48		13	145	239	57	34		STnc3180		sRNA	668611	668719	+			SL1344_STnc3180
STnc070	1,296	3,156	2,798	2,207	144		1,062		1,760	1,781	4,921	2,311	1,421	2,763	2,510		4,403	10,399		1,868	2,989	1,662	8,027	3,386		STnc070		sRNA	669642	669793	+			SL1344_STnc070
sRNA10	129	149	194	208	531		121		169	85	234	167	142	184	236		340	189		256	502	1,025	293	429		sRNA10		sRNA	679315	679410	-			SL1344_sRNA10
STnc3550	16	17	35	34	21		9		16	22	19	19	10	16	88		51	28		22	57	91	33	26		STnc3550		sRNA	689844	689990	-			SL1344_STnc3550
SroC	78	518	2,340	2,254	1,847		190		418	848	300	426	694	561	497		124	374		723	982	111	909	532		SroC		sRNA	728172	728324	-			SL1344_SroC
STnc3290	22	22	32	39	34		25		36	21	36	79	30	42	43		38	60		92	131	214	120	123		STnc3290		sRNA	738320	738476	+			SL1344_STnc3290
STnc3300	31	46	68	73	151		39		64	110	49	158	126	67	240		50	54		67	48	97	145	135		STnc3300		sRNA	748530	748639	-			SL1344_STnc3300
sRNA9	1,117	778	593	312	39		815		989	611	747	1,218	627	574	227		303	543		710	356	360	635	526		sRNA9		sRNA	756377	756436	-			SL1344_sRNA9
RybD	211	1,107	3,323	3,373	258		1,010		1,099	905	899	813	1,327	1,378	2,289		808	1,197		1,342	583	733	1,284	1,619		RybD	STnc830	sRNA	807346	807429	+			SL1344_RybD
STnc3340	53	69	29	29	4		49		63	49	80	455	78	101	52		33	65		73	58	52	92	123		STnc3340		sRNA	863329	863391	-			SL1344_STnc3340
STnc980	40	40	21	21	36		22		21	28	109	77	54	55	25		65	92		15	36	96	79	105		STnc980		sRNA	889558	889714	-			SL1344_STnc980
RybA	524	318	831	714	2,759		582		4,398	2,046	447	3,921	747	517	81		222	1,279		281	1,216	2,648	7,703	2,345		RybA		sRNA	901301	901397	-			SL1344_RybA
STnc1200	430	1,038	826	2,803	166		549		320	912	907	997	60	1,201	1,529		1,402	1,265		1,258	1,027	580	1,530	1,624		STnc1200		sRNA	924769	924838	-			SL1344_STnc1200
STnc1710	73	76	110	237	834		137		191	167	116	201	42	99	123		158	169		108	104	244	351	233		STnc1710		sRNA	932197	932336	+			SL1344_STnc1710
RybB	430	582	412	317	5,218		631		1,579	479	338	1,333	601	291	745		1,192	270		519	621	11,658	815	1,173		p25		sRNA	941815	941893	-			SL1344_RybB
STnc490	0	0	0	0	0		0		0	0	0	0	0	0	0		0	0		0	0	0	0	0		STnc490		sRNA	981622	981711	-			SL1344_STnc490
STnc3310	155	146	138	121	150		168		170	146	166	175	161	143	188		201	169		160	224	291	140	288		STnc3310		sRNA	1009199	1009379	-			SL1344_STnc3310
STnc3330	0	2	10	27	6		0		4	15	4	0	14	4	182		29	1		0	2	6	10	3		STnc3330		sRNA	1024493	1024591	-			SL1344_STnc3330
STnc3350	67	72	45	70	19		84		58	157	49	29	68	61	88		41	64		105	72	83	83	176		STnc3350		sRNA	1047936	1048028	+			SL1344_STnc3350
STnc4200	108	124	94	43	26		193		553	149	130	195	104	146	210		128	94		136	198	180	127	291		STnc4200		sRNA	1055773	1055892	+			SL1344_STnc4200
IsrB-2	0	1	6	2	0		1		0	2	1	2	5	6	8		6	6		1	1	0	0	0		IsrB-2		sRNA	1060740	1060833	-			SL1344_IsrB-2
IsrB-1	354	436	494	1,062	137		419		293	450	400	828	52	455	436		474	414		1,228	537	377	810	677		IS092		sRNA	1060741	1060835	+			SL1344_IsrB-1
STnc1080	1,172	1,092	1,057	1,950	168		1,253		663	642	915	1,770	115	1,282	1,028		1,360	1,584		3,335	2,217	1,295	2,178	2,130		STnc1080		sRNA	1062745	1062806	-			SL1344_STnc1080
STnc3390	11	1	8	10	2		3		20	12	8	12	7	7	37		28	9		8	12	402	15	31		STnc3390		sRNA	1113731	1113815	-			SL1344_STnc3390
STnc1880	237	144	146	63	42		324		670	223	163	236	122	151	239		163	124		99	76	173	121	211		STnc1880		sRNA	1153745	1153841	+			SL1344_STnc1880
STnc3400	17	17	27	37	29		20		44	48	24	61	17	21	9		34	44		20	43	115	18	31		STnc3400		sRNA	1154915	1154976	+			SL1344_STnc3400
STnc500	117	163	3,431	1,055	619		95		179	443	152	225	169	178	692		4,425	1,933		466	297	341	404	515		STnc500		sRNA	1172561	1172641	-			SL1344_STnc500
STnc3040	9	12	22	21	83		18		17	12	14	104	12	19	42		21	28		19	9	41	48	88		STnc3040		sRNA	1198646	1198752	+			SL1344_STnc3040
STnc840	469	574	841	1,203	461		266		608	222	332	1,889	157	315	958		964	661		1,683	116	695	1,252	1,741		STnc840		sRNA	1224244	1224316	+			SL1344_STnc840
SraB	807	735	658	307	38		458		584	532	589	334	349	527	622		852	704		532	437	661	216	717		pke2		sRNA	1231270	1231378	+			SL1344_SraB
STnc850	91	98	199	518	4,292		184		74	149	178	1,145	151	147	151		163	470		210	262	270	304	348		STnc850		sRNA	1252598	1252673	+			SL1344_STnc850
STnc1090	39	50	42	26	13		27		62	37	34	71	56	63	90		71	57		54	57	144	35	116		STnc1090		sRNA	1252560	1252626	-			SL1344_STnc1090
STnc3410	49	231	216	266	78		107		159	274	309	117	27	257	341		433	227		151	340	366	265	322		STnc3410		sRNA	1254996	1255077	-			SL1344_STnc3410
STnc150	35	29	42	45	67		79		50	60	30	83	55	51	50		69	52		50	130	322	64	90		STnc150		sRNA	1282521	1282677	-			SL1344_STnc150
IsrC	4	2	7	8	6		4		4	3	8	24	5	2	9		9	17		6	6	6	7	8		IS102		sRNA	1285998	1286285	+			SL1344_IsrC
STnc3420	7	6	26	21	39		16		30	15	16	32	20	10	38		27	15		22	22	35	27	32		STnc3420		sRNA	1289667	1289799	-			SL1344_STnc3420
STnc520	274	538	1,705	4,546	61		352		129	582	868	922	437	795	760		3,217	5,241		458	471	299	693	439		STnc520		sRNA	1290590	1290674	-			SL1344_STnc520
STnc1760	59	48	55	73	175		47		70	125	59	35	22	73	111		99	68		41	47	67	138	79		STnc1760		sRNA	1292835	1292935	-			SL1344_STnc1760
STnc1210	228	401	217	779	662		452		250	369	365	926	18	745	767		312	305		268	169	250	210	698		STnc1210		sRNA	1292956	1293014	+			SL1344_STnc1210
STnc1990	105	110	176	89	91		128		152	128	158	392	242	173	168		125	178		138	139	181	134	349		STnc1990		sRNA	1294841	1294974	+			SL1344_STnc1990
STnc3430	60	63	64	72	51		16		85	53	73	102	49	72	107		81	87		45	117	130	138	176		STnc3430		sRNA	1294946	1295057	-			SL1344_STnc3430
IsrD	0	0	0	1	0		0		0	0	0	0	0	0	0		5	0		0	0	0	0	1		IsrD		sRNA	1302591	1302641	-			SL1344_IsrD
STnc3440	19	21	103	66	161		14		19	6	16	55	60	30	35		65	108		54	235	348	18	162		STnc3440		sRNA	1303294	1303380	+			SL1344_STnc3440
RyhB-2	161	109	22	37	7,840		103		230	248	103	115	776	3,330	41		24	46		217	18	10	3,260	319		isrE, RfrB		sRNA	1309727	1309937	-			SL1344_RyhB-2
STnc1480	11	13	67	268	31		14		9	17	33	56	10	15	49		77	56		35	818	4,078	205	61		STnc1480		sRNA	1316874	1317268	+			SL1344_STnc1480
STnc1640	30	114	400	1,091	1,302		111		141	300	180	273	15	160	534		740	486		131	137	126	118	207		STnc1640		sRNA	1345883	1345970	+			SL1344_STnc1640
STnc2010	17	29	63	102	43		19		24	37	40	32	43	24	58		97	54		58	102	96	40	133		STnc2010		sRNA	1353832	1353959	+			SL1344_STnc2010
STnc3570	262	234	198	175	20		163		374	334	411	278	158	409	474		352	169		209	228	308	555	493		STnc3570		sRNA	1359017	1359183	-			SL1344_STnc3570
STnc3460	135	115	83	60	63		111		151	90	158	144	125	80	62		85	84		87	81	140	180	114		STnc3460		sRNA	1363846	1363967	+			SL1344_STnc3460
STnc4210	2	13	342	1,510	2,404		8		26	29	22	94	6	41	63		717	991		63	404	440	191	398		STnc4210		sRNA	1363925	1363997	-			SL1344_STnc4210
STnc540	286	351	407	984	327		302		283	580	470	418	293	372	491		656	530		350	578	409	363	489		sRNA14		sRNA	1376271	1376364	+			SL1344_STnc540
RprA	265	726	1,344	3,685	27,897		1,767		554	957	1,610	15,719	2,214	661	1,015		1,640	2,433		3,956	1,824	1,139	2,295	2,041		IS083		sRNA	1401682	1401790	-			SL1344_RprA
RydB	127	178	263	518	123		181		223	415	304	100	31	278	341		764	256		651	604	891	486	786		tpe7, IS082		sRNA	1407278	1407371	+			SL1344_RydB
STnc1220	2	2	12	34	329		0		0	7	2	96	13	5	12		14	13		4	14	104	17	73		STnc1220		sRNA	1448718	1448790	-			SL1344_STnc1220
STnc4220	459	597	555	586	73		525		450	738	1,026	278	218	648	259		258	575		921	1,218	518	589	239		STnc4220		sRNA	1464776	1464870	-			SL1344_STnc4220
STnc3500	8	10	16	29	58		12		14	10	8	61	21	13	44		46	20		17	23	74	88	69		STnc3500		sRNA	1495398	1495512	+			SL1344_STnc3500
STnc3510	24	41	105	57	23		23		23	36	55	37	42	61	65		59	68		68	66	28	21	60		STnc3510		sRNA	1506482	1506596	-			SL1344_STnc3510
STnc3480	65	79	66	32	5		220		47	114	132	26	31	59	35		23	37		28	23	23	12	23		STnc3480		sRNA	1519287	1519547	+			SL1344_STnc3480
MgrR	6,440	5,177	7,295	8,252	6,896		8,195		7,791	8,024	9,127	7,203	6,598	5,111	5,056		6,885	4,272		12,866	11,667	12,659	14,576	12,706		MgrR	STnc560	sRNA	1550746	1550844	+			SL1344_MgrR
STnc2170	51	51	28	31	22		51		42	57	198	205	274	110	91		48	33		51	45	101	74	181		STnc2170		sRNA	1553669	1553737	-			SL1344_STnc2170
STnc3530	60	63	76	48	6		64		65	60	91	92	105	74	25		11	71		107	83	57	43	47		STnc3530		sRNA	1564332	1564503	+			SL1344_STnc3530
IsrF	13	26	23	22	3		31		24	27	16	37	27	29	36		28	22		23	20	18	27	27		IsrF		sRNA	1586724	1587013	-			SL1344_IsrF
STnc3540	65	87	154	192	12		36		88	92	114	39	117	166	112		156	144		133	166	132	62	73		STnc3540		sRNA	1605727	1605912	-			SL1344_STnc3540
STnc1110	199	217	372	683	892		239		118	173	125	274	189	222	182		419	511		289	274	694	130	326		STnc1110		sRNA	1643465	1643658	+			SL1344_STnc1110
RyjB	257	397	565	1,309	840		281		138	266	323	488	122	474	770		1,090	920		1,030	1,226	854	1,103	1,182		RyjB	STnc1120	sRNA	1662190	1662282	-			SL1344_RyjB
RydC	8,202	7,813	5,973	9,436	7,803		2,909		9,224	20,522	9,645	8,540	6,398	6,968	11,494		3,906	2,982		27,356	13,176	10,272	30,216	35,042		IS067		sRNA	1686526	1686591	+			SL1344_RydC
MicC	90	79	103	236	109		110		74	69	73	113	58	71	54		145	293		251	148	132	68	124		IS063, tke8		sRNA	1702531	1702639	-			SL1344_MicC
FnrS	26	44	90	2,509	13		53		66	75	42	66	97	39	15,980		17,036	123		59	61	61	32	104		FnrS	STnc580	sRNA	1706784	1706905	-			SL1344_FnrS
STnc2030	0	5	9	30	818		8		0	6	10	32	2	5	3		12	10		8	5	10	3	20		STnc2030		sRNA	1784673	1784725	+			SL1344_STnc2030
STnc1270	543	471	639	266	40		601		638	759	745	498	550	531	391		704	425		329	509	610	211	330		STnc1270		sRNA	1789368	1789691	-			SL1344_STnc1270
STnc3580	55	42	92	83	132		35		91	82	93	194	51	87	206		148	54		108	32	39	184	218		STnc3580		sRNA	1798747	1798826	+			SL1344_STnc3580
STnc3600	11	11	12	15	19		3		6	7	16	99	17	16	16		18	18		66	24	57	89	81		STnc3600		sRNA	1812121	1812328	+			SL1344_STnc3600
STnc2040	2	4	8	192	42		2		0	3	4	3	0	2	710		21	12		11	37	23	19	21		STnc2040		sRNA	1819352	1819414	-			SL1344_STnc2040
STnc3610	49	28	47	28	42		27		55	60	46	90	39	44	46		31	44		127	83	109	47	136		STnc3610		sRNA	1850045	1850400	-			SL1344_STnc3610
STnc3620	19	21	94	111	53		23		8	29	32	137	66	56	61		79	116		20	29	122	33	51		STnc3620		sRNA	1866668	1866747	+			SL1344_STnc3620
STnc3630	11	24	84	381	46		19		45	73	20	39	31	22	644		968	95		17	47	125	56	112		STnc3630		sRNA	1894039	1894125	+			SL1344_STnc3630
STnc1130	47	40	47	41	15		38		43	67	34	100	62	37	50		57	44		88	95	248	55	171		STnc1130		sRNA	1913615	1913755	-			SL1344_STnc1130
STnc3640	11	21	49	42	30		28		70	37	26	40	16	32	40		39	45		40	31	60	50	137		STnc3640		sRNA	1915824	1916082	+			SL1344_STnc3640
SraC	122	146	414	505	180		219		525	507	316	471	166	271	159		262	641		496	460	763	2,013	1,959		RyeA		sRNA	1925543	1925853	+			SL1344_SraC
SdsR	1,080	826	2,198	7,467	179,986		1,448		919	1,460	852	2,136	1,333	899	2,216		4,408	2,533		1,711	6,646	44,171	2,268	2,429		RyeB, tpke79		sRNA	1925621	1925723	-			SL1344_SdsR
STnc1690	131	273	263	711	547		102		210	360	275	338	8	263	343		209	252		777	358	161	349	452		STnc1690		sRNA	1931455	1931546	+			SL1344_STnc1690
STnc200	44	103	77	87	74		56		146	38	82	86	70	130	258		127	72		99	155	100	164	138		STnc200		sRNA	1937130	1937244	-			SL1344_STnc200
RyeF	21	25	19	20	221		19		192	19	16	92	30	23	28		75	26		35	66	387	22	30		RyeF	STnc860	sRNA	1958513	1958819	-			SL1344_RyeF
STnc2180	5,090	4,026	4,536	622	3		10,261		10,375	2,794	7,505	11,266	1,519	1,703	1,913		1,568	2,072		4,605	1,763	2,450	153	1,921		STnc2180		sRNA	1992863	1992913	-			SL1344_STnc2180
DsrA	489	1,373	1,527	1,925	881		1,076		2,099	1,912	800	3,084	813	1,315	3,963		1,693	892		2,153	1,484	1,933	2,334	6,416		DsrA		sRNA	2026216	2026302	-			SL1344_DsrA
RseX	6	4	16	15	7		3		7	5	7	34	7	4	8		4	5		19	7	9	15	15		RseX		sRNA	2034743	2034837	+			SL1344_RseX
STnc1280	235	602	1,049	3,237	3,805		398		435	839	521	575	255	800	1,882		1,593	1,259		2,462	5,407	2,769	2,565	2,316		STnc1280		sRNA	2039984	2040056	+			SL1344_STnc1280
STnc1290	5,737	6,537	5,282	8,559	17,968		5,989		2,530	5,749	5,916	9,353	368	6,773	7,102		8,128	7,923		15,381	19,202	7,574	12,070	11,967		STnc1290		sRNA	2070801	2070988	-			SL1344_STnc1290
STnc1300	1,598	1,432	1,150	2,259	427		1,760		1,024	1,105	1,222	2,725	216	1,772	2,376		2,694	2,803		6,750	3,020	3,839	4,701	5,099		STnc1300		sRNA	2071271	2071409	+			SL1344_STnc1300
STnc1310	138	230	408	573	49		77		241	451	243	531	434	189	533		583	316		425	189	928	681	1,111		STnc1310		sRNA	2073265	2073338	+			SL1344_STnc1310
STnc2050	1,049	1,608	549	141	5		1,833		6,433	2,234	1,299	1,565	779	989	249		100	302		927	861	80	17	63		STnc2050		sRNA	2082064	2082105	+			SL1344_STnc2050
STnc3680	163	214	139	156	35		197		206	266	245	92	60	194	137		141	125		86	62	49	64	102		STnc3680		sRNA	2088048	2088167	+			SL1344_STnc3680
STnc1530	15	40	40	92	133		25		53	75	50	58	15	37	82		108	81		35	45	197	79	166		STnc1530		sRNA	2101640	2101718	+			SL1344_STnc1530
STnc3700	51	25	25	68	39		24		50	44	93	95	28	36	101		65	33		80	78	188	163	148		STnc3700		sRNA	2131885	2131995	+			SL1344_STnc3700
STnc1650	46	62	59	93	69		47		69	106	55	60	32	62	117		137	82		65	57	128	112	173		STnc1650		sRNA	2132959	2133102	+			SL1344_STnc1650
STnc700	1,726	1,446	1,628	1,529	330		1,437		3,989	2,399	1,755	2,532	1,165	1,748	2,888		1,884	1,381		3,117	2,989	2,061	2,595	3,996		STnc700		sRNA	2147102	2147280	+			SL1344_STnc700
STnc1320	25	44	33	48	47		30		34	42	61	52	41	55	88		74	45		52	49	90	86	106		STnc1320		sRNA	2174386	2174470	+			SL1344_STnc1320
RyeC	733	1,460	3,087	7,282	1,990		469		665	1,932	981	2,756	150	2,401	4,454		5,010	3,670		3,732	4,763	2,728	4,524	3,421		tp11, SibA		sRNA	2211623	2211760	+			SL1344_RyeC
STnc1150	326	392	513	490	219		143		372	548	427	434	577	423	333		247	411		750	1,069	1,045	1,081	848		STnc2060		sRNA	2222979	2223134	+			SL1344_STnc1150
CyaR	427	2,697	13,101	17,682	798		1,240		4,408	7,129	430	1,268	4,981	1,416	12,197		6,046	881		3,669	660	144	2,052	1,088		ryeE		sRNA	2228847	2228932	+			SL1344_CyaR
STnc740	76	58	79	119	164		78		86	119	71	293	100	95	94		69	72		181	120	144	181	255		STnc740		sRNA	2240283	2240366	-			SL1344_STnc740
STnc1890	13	49	37	125	1,513		15		61	10	42	60	7	68	60		44	54		36	39	317	275	240		STnc1890		sRNA	2250891	2250938	+			SL1344_STnc1890
STnc3720	11	12	31	86	69		8		21	19	19	46	13	29	74		53	40		17	32	181	55	127		STnc3720		sRNA	2264259	2264328	+			SL1344_STnc3720
STnc1330	69	69	311	585	1,036		137		60	86	50	1,668	223	119	294		400	342		209	353	1,551	509	1,802		STnc1330		sRNA	2268274	2268414	+			SL1344_STnc1330
STnc3010	143	136	207	121	16		182		185	189	131	198	208	174	245		197	165		200	128	128	146	245		STnc3010		sRNA	2310959	2311126	-			SL1344_STnc3010
STnc1340	250	88	166	1,365	218		104		271	1,737	225	181	125	150	1,433		653	117		120	86	121	186	158		STnc1340		sRNA	2319956	2320037	-			SL1344_STnc1340
STnc1540	94	188	155	367	190		100		76	188	182	240	40	220	272		284	215		339	383	108	145	203		STnc1540		sRNA	2321042	2321137	-			SL1344_STnc1540
IsrG	7	6	4	2	0		2		4	2	5	2	2	7	1		3	9		6	11	10	0	2		IsrG		sRNA	2342448	2342729	+			SL1344_IsrG
MicF	641	961	937	322	1,581		969		647	2,826	3,861	2,162	3,797	2,268	3,474		3,372	1,177		59	541	2,031	709	609		MicF		sRNA	2364629	2364721	+			SL1344_MicF
IsrH_1_2	2	2	2	6	13		1		0	2	2	11	1	2	4		1	4		3	69	104	25	25		IsrH_1_2		sRNA	2392019	2392469	-			SL1344_IsrH_1_2
STnc1550	82	84	265	224	120		53		92	176	78	139	98	79	189		170	100		117	51	74	110	124		STnc1550		sRNA	2437665	2437806	+			SL1344_STnc1550
STnc1560	239	1,333	492	535	405		399		693	1,671	1,590	1,170	181	1,305	1,695		998	539		325	610	293	666	531		STnc1560		sRNA	2449075	2449183	+			SL1344_STnc1560
STnc3730	7	22	32	41	25		11		18	32	47	42	28	22	30		24	31		60	94	136	85	63		STnc3730		sRNA	2449087	2449281	-			SL1344_STnc3730
STnc3740	27	39	45	137	945		27		11	33	27	76	7	56	80		127	147		105	211	303	125	169		STnc3740		sRNA	2459768	2459846	+			SL1344_STnc3740
STnc3750	0	6	31	62	156		9		3	10	5	70	19	12	26		35	46		19	183	171	40	94		STnc3750		sRNA	2503726	2503803	-			SL1344_STnc3750
tpke70	3	7	6	6	4		5		21	9	3	11	6	5	8		5	9		5	10	11	3	10		tpke70		sRNA	2513324	2513722	-			SL1344_tpke70
STnc3760	35	60	52	65	20		33		44	62	69	108	44	101	248		174	72		68	53	53	185	146		STnc3760		sRNA	2515508	2515633	+			SL1344_STnc3760
STnc2070	1,333	866	706	832	302		1,654		1,746	1,267	726	2,212	421	1,246	892		1,019	1,444		693	1,665	1,946	1,099	1,782		STnc1370		sRNA	2672469	2672567	-			SL1344_STnc2070
RyfA	91	130	144	181	26		53		60	72	140	111	164	179	214		314	202		109	318	385	364	202		tp1, PAIR3		sRNA	2672651	2672944	+			SL1344_RyfA
GlmY	2,515	2,770	1,873	2,326	1,670		1,424		2,288	1,359	2,016	3,131	316	3,110	1,497		2,696	3,655		6,176	8,508	3,973	3,204	1,663		tke1, sroF		sRNA	2705381	2705564	-			SL1344_GlmY
STnc1380	196	393	288	858	19		471		214	255	404	725	41	563	729		857	785		523	446	323	608	566		STnc1380		sRNA	2729634	2729701	-			SL1344_STnc1380
STnc3770	80	84	38	64	15		146		258	202	77	149	42	91	127		80	62		88	64	72	69	144		STnc3770		sRNA	2743288	2743373	+			SL1344_STnc3770
